acc,accuracy,avg_rt,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,system_os,target
100,100,112,,,,None,1,m,0,9,,,,,,,,,,,,,m,133,,,,,,,,,1,,None
100,100,111,,,,None,1,m,0,10,,,,,,,,,,,,,m,101,,,,,,,,,1,,None
100,100,111,,,,None,1,m,0,11,,,,,,,,,,,,,m,105,,,,,,,,,1,,None
100,100,112,,,,None,1,m,0,12,,,,,,,,,,,,,m,124,,,,,,,,,1,,None
100,100,113,,,,None,1,m,0,13,,,,,,,,,,,,,m,130,,,,,,,,,1,,None
100,100,113,,,,None,1,m,0,14,,,,,,,,,,,,,m,108,,,,,,,,,1,,None
100,100,114,,,,None,1,m,0,15,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,114,,,,None,1,m,0,16,,,,,,,,,,,,,m,121,,,,,,,,,1,,None
100,100,115,,,,None,1,m,0,17,,,,,,,,,,,,,m,122,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,18,,,,,,,,,,,,,m,142,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,19,,,,,,,,,,,,,m,118,,,,,,,,,1,,None
100,100,117,,,,None,1,m,0,20,,,,,,,,,,,,,m,131,,,,,,,,,1,,None
100,100,117,,,,None,1,m,0,21,,,,,,,,,,,,,m,114,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,22,,,,,,,,,,,,,m,106,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,23,,,,,,,,,,,,,m,103,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,24,,,,,,,,,,,,,m,122,,,,,,,,,1,,None
100,100,116,,,,None,1,m,0,25,,,,,,,,,,,,,m,129,,,,,,,,,1,,None
100,100,117,,,,None,1,m,0,26,,,,,,,,,,,,,m,123,,,,,,,,,1,,None
