condition,num_letters,type,prime,target
semi-scrambled,8,fruit_veg,mohrousm,mushroom
fully-scrambled,8,fruit_veg,srommhuo,mushroom
identical,8,fruit_veg,beetroot,beetroot
semi-scrambled,8,fruit_veg,btooeert,beetroot
fully-scrambled,8,fruit_veg,toroetbe,beetroot
identical,8,fruit_veg,cucumber,cucumber
semi-scrambled,8,fruit_veg,ccbmeuur,cucumber
fully-scrambled,8,fruit_veg,mcurcube,cucumber
identical,8,fruit_veg,chickpea,chickpea
semi-scrambled,8,fruit_veg,cekicaph,chickpea
fully-scrambled,8,fruit_veg,ekahiccp,chickpea
