browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_jatosWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,sash,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,CLOTH,181720,181801,181755
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,bread,-1,1,2014,1175,1920,30,1200,30,0,25,1920,short,MacIntel,BREAD,184434,184523,184468
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,harp,-1,1,2001,1175,1920,30,1200,30,0,25,1920,short,MacIntel,SNAIL,187151,187220,187186
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,mail,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,MAIL,189834,189917,189870
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,torch,-1,1,2016,1175,1920,30,1200,30,0,25,1920,short,MacIntel,CHIMP,192535,192618,192583
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,belt,-1,1,2014,1175,1920,30,1200,30,0,25,1920,short,MacIntel,BELT,195251,195318,195285
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,melon,-1,1,2012,1175,1920,30,1200,30,0,25,1920,short,MacIntel,HOSE,197935,198017,197984
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,toast,-1,1,2015,1175,1920,30,1200,30,0,25,1920,short,MacIntel,TOAST,200634,200717,200669
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,paint,-1,1,2016,1175,1920,30,1200,30,0,25,1920,short,MacIntel,PAINT,203351,203434,203386
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,31-09-22,31-09-22,11:29:14,0,0,0,0,0,765,3.6.1,leaf,-1,1,2016,1175,1920,30,1200,30,0,25,1920,short,MacIntel,COIN,206051,206123,206085
