browser_codename,browser_name,browser_version,condition,congruence,correct,counterbalance,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,prime,queryParams_batchId,queryParams_jatosWorkerId,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,soa_condition,system_os,target,time_mask1,time_mask2,time_prime
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,linen,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,LINEN,7682,154551,154501
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,flask,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,FLASK,7682,157302,157266
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,shell,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,DIRT,7682,160051,160016
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,eagle,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,WAGON,7682,162800,162750
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,desk,-1,1,2017,1175,1920,30,1200,30,118,121,1920,long,MacIntel,CANDY,7682,165550,165516
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Synth,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,bell,-1,1,2015,1175,1920,30,1200,30,118,121,1920,long,MacIntel,WHEEL,7682,168316,168266
Mozilla,Netscape,5.0 (Macintosh),Inc_Nat_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,bunny,-1,1,2016,1175,1920,30,1200,30,118,121,1920,long,MacIntel,ROSE,7682,171048,171015
Mozilla,Netscape,5.0 (Macintosh),Inc_Synth_Nat,incongruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,ruler,-1,1,2016,1175,1920,30,1200,30,118,121,1920,short,MacIntel,PANSY,420999,421084,421033
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,bike,-1,1,2015,1175,1920,30,1200,30,118,121,1920,short,MacIntel,BIKE,423718,423799,423752
Mozilla,Netscape,5.0 (Macintosh),Con_Synth,congruent,0,B,02-10-22,02-10-22,15:31:18,0,0,0,0,0,768,3.6.1,paint,-1,1,2014,1175,1920,30,1200,30,118,121,1920,short,MacIntel,PAINT,426433,426532,426484
